image_id,true_class_idx,true_class_name,predicted_class_idx,predicted_class_name,error_magnitude,prediction_confidence,true_class_confidence
50a2aef380c8,3,Severe DR,4,Proliferative DR,1,0.7094488739967346,0.03478170186281204
365f8c01d994,1,Mild DR,4,Proliferative DR,3,0.4339688718318939,0.01571233570575714
e599151ca14b,2,Moderate DR,3,Severe DR,1,0.9744715690612793,0.019241413101553917
c9d42d7534e0,2,Moderate DR,3,Severe DR,1,0.56553715467453,0.43157705664634705
da6389d129aa,0,No DR,1,Mild DR,1,0.6973943710327148,0.005675239488482475
7877be80901c,2,Moderate DR,4,Proliferative DR,2,0.6412510871887207,0.26751449704170227
1c6d119c3d70,2,Moderate DR,3,Severe DR,1,0.49988487362861633,0.4814976155757904
253e96488cfb,0,No DR,1,Mild DR,1,0.9448473453521729,0.026753826066851616
3c311c9109b0,2,Moderate DR,1,Mild DR,1,0.5529882311820984,0.400341272354126
0eb52045349f,1,Mild DR,2,Moderate DR,1,0.9961453676223755,0.003190847812220454
c1799a6f5c65,4,Proliferative DR,2,Moderate DR,2,0.8473478555679321,0.03276727348566055
3b185ac445d0,4,Proliferative DR,3,Severe DR,1,0.7309291958808899,0.17377716302871704
63b4d030b016,4,Proliferative DR,3,Severe DR,1,0.47741982340812683,0.038570087403059006
b1f4122fd36a,2,Moderate DR,3,Severe DR,1,0.39219605922698975,0.3861701488494873
9ed666e982cd,1,Mild DR,2,Moderate DR,1,0.8993025422096252,0.10023006796836853
1c4f3aa4df06,4,Proliferative DR,2,Moderate DR,2,0.9747846722602844,0.024170465767383575
e19936582c61,3,Severe DR,4,Proliferative DR,1,0.568560004234314,0.09314235299825668
a45d77edf8d9,2,Moderate DR,1,Mild DR,1,0.5123129487037659,0.41437476873397827
6c6efb6b1358,1,Mild DR,2,Moderate DR,1,0.8156060576438904,0.18317343294620514
1006345f70b7,2,Moderate DR,3,Severe DR,1,0.9219108819961548,0.0735049769282341
e3ab63dc9a60,4,Proliferative DR,2,Moderate DR,2,0.7955833673477173,0.13950280845165253
77e7c7a160c8,2,Moderate DR,0,No DR,2,0.606702983379364,0.18653735518455505
57a5f1015504,2,Moderate DR,4,Proliferative DR,2,0.6798064708709717,0.2944551110267639
1b32e1d775ea,4,Proliferative DR,3,Severe DR,1,0.9824302196502686,0.015117212198674679
233d948e2544,0,No DR,1,Mild DR,1,0.7182970643043518,0.15695329010486603
b35cad8fe2d7,0,No DR,1,Mild DR,1,0.9257927536964417,0.06833408027887344
735836b1ffa6,0,No DR,1,Mild DR,1,0.8013303279876709,0.010497807525098324
191a711852bd,3,Severe DR,4,Proliferative DR,1,0.8956552147865295,0.09661372005939484
525acfea47e8,2,Moderate DR,3,Severe DR,1,0.5276066064834595,0.4532202184200287
711d1480d2e3,2,Moderate DR,1,Mild DR,1,0.7747771143913269,0.12764333188533783
8fd7ad26e691,4,Proliferative DR,2,Moderate DR,2,0.7805191278457642,0.04569236561655998
6377e23928f6,1,Mild DR,2,Moderate DR,1,0.937015175819397,0.008354408666491508
f5e6226bd2e0,4,Proliferative DR,3,Severe DR,1,0.9482450485229492,0.002455688314512372
bdb98063fe84,2,Moderate DR,3,Severe DR,1,0.9974398612976074,0.0024965619668364525
82910bba4753,2,Moderate DR,3,Severe DR,1,0.9834567904472351,0.015357648953795433
a56230242a95,2,Moderate DR,3,Severe DR,1,0.49988487362861633,0.4814976155757904
7ad0c4975890,0,No DR,1,Mild DR,1,0.9592339396476746,0.02698717825114727
2d07162a13b1,0,No DR,2,Moderate DR,2,0.5533053874969482,0.0002514406805858016
db690e2d02f8,1,Mild DR,2,Moderate DR,1,0.7061731219291687,0.28126463294029236
821789e9053f,1,Mild DR,2,Moderate DR,1,0.7423830032348633,0.015462500974535942
eae901557a84,2,Moderate DR,1,Mild DR,1,0.8862715363502502,0.1095857173204422
3435fd8675a2,3,Severe DR,4,Proliferative DR,1,0.8262734413146973,0.14899051189422607
3f8d5c940ba4,2,Moderate DR,3,Severe DR,1,0.9280424118041992,0.0619841143488884
b402daa0864c,2,Moderate DR,3,Severe DR,1,0.9389716982841492,0.04946035146713257
cd54d022e37d,4,Proliferative DR,2,Moderate DR,2,0.9489167332649231,0.04365317523479462
887c26fc0e1f,4,Proliferative DR,3,Severe DR,1,0.5951485633850098,0.20325064659118652
9c088d2d1559,2,Moderate DR,1,Mild DR,1,0.8003969192504883,0.19656291604042053
e34fa07bd64d,2,Moderate DR,3,Severe DR,1,0.7249032258987427,0.08504251390695572
14e3f84445f7,3,Severe DR,4,Proliferative DR,1,0.8252648711204529,0.12338723242282867
e4730ddde408,4,Proliferative DR,3,Severe DR,1,0.985587477684021,0.00015081635501701385
4384fa687afa,2,Moderate DR,1,Mild DR,1,0.9547187089920044,0.03789253532886505
e06d3d4733f0,2,Moderate DR,3,Severe DR,1,0.549163281917572,0.4063836336135864
eed4afc8ec83,1,Mild DR,0,No DR,1,0.9166445136070251,0.06273865699768066
a8b637abd96b,0,No DR,1,Mild DR,1,0.8626161217689514,0.13062357902526855
194814669fee,1,Mild DR,2,Moderate DR,1,0.8010426759719849,0.006096690893173218
1bf30c84bbad,4,Proliferative DR,2,Moderate DR,2,0.5028055310249329,0.004662711173295975
19244004583f,3,Severe DR,4,Proliferative DR,1,0.9171163439750671,0.07293491810560226
eaa0dfbd5024,4,Proliferative DR,1,Mild DR,3,0.4754243493080139,0.15077748894691467
2cbfc6182ba2,2,Moderate DR,4,Proliferative DR,2,0.8186931014060974,0.05601330101490021
ae5d31979f19,0,No DR,1,Mild DR,1,0.9664866328239441,0.030394945293664932
e150935f66a6,2,Moderate DR,0,No DR,2,0.9835747480392456,0.002812332008033991
ee6e39319b39,2,Moderate DR,3,Severe DR,1,0.5520315170288086,0.41607341170310974
0124dffecf29,1,Mild DR,2,Moderate DR,1,0.385038822889328,0.30083584785461426
ee2c2a5f7d0e,2,Moderate DR,4,Proliferative DR,2,0.6412510871887207,0.26751449704170227
d83c3efade75,2,Moderate DR,4,Proliferative DR,2,0.5364856123924255,0.09343241900205612
17eff993386f,1,Mild DR,2,Moderate DR,1,0.7785909175872803,0.18105505406856537
5152bf091152,2,Moderate DR,4,Proliferative DR,2,0.5903792977333069,0.3011532127857208
33e8e26a75d4,2,Moderate DR,1,Mild DR,1,0.9392593502998352,0.056829988956451416
f066db7a2efe,0,No DR,1,Mild DR,1,0.987779438495636,0.01056396123021841
89ee1fa16f90,2,Moderate DR,3,Severe DR,1,0.6282122731208801,0.3361177146434784
0dbaa09a458c,2,Moderate DR,3,Severe DR,1,0.7564173340797424,0.23938912153244019
a21b37719f9b,2,Moderate DR,4,Proliferative DR,2,0.5490701198577881,0.3408386707305908
8bed09514c3b,4,Proliferative DR,1,Mild DR,3,0.9378147125244141,0.02745860442519188
42cc993f23a9,3,Severe DR,2,Moderate DR,1,0.46462538838386536,0.0003963954222854227
c7e827fc7f41,2,Moderate DR,4,Proliferative DR,2,0.8992916941642761,0.04343455657362938
3f44d749cd0b,0,No DR,1,Mild DR,1,0.6667523384094238,0.31439298391342163
d7e5fe5245e0,0,No DR,1,Mild DR,1,0.9799005389213562,0.003793073119595647
e1ab92228e60,0,No DR,1,Mild DR,1,0.8098408579826355,0.18314403295516968
d85ea1220a03,4,Proliferative DR,3,Severe DR,1,0.7176902890205383,0.22109238803386688
cb02bb47fdc5,0,No DR,1,Mild DR,1,0.9954386353492737,0.004102364182472229
f576e45d1da2,3,Severe DR,2,Moderate DR,1,0.8875535130500793,0.005727558396756649
3d3e288d490e,2,Moderate DR,3,Severe DR,1,0.9687313437461853,0.027222000062465668
a9d0c900b6a9,2,Moderate DR,4,Proliferative DR,2,0.5434716939926147,0.3582175076007843
4f7755e74a9e,1,Mild DR,2,Moderate DR,1,0.5980106592178345,0.2720544636249542
d1f1ea894da1,2,Moderate DR,4,Proliferative DR,2,0.607162356376648,0.3713487982749939
d94e10f42861,2,Moderate DR,3,Severe DR,1,0.9016070365905762,0.08997847139835358
fba493e17448,2,Moderate DR,3,Severe DR,1,0.8738813996315002,0.12428729981184006
8a67f1efa315,2,Moderate DR,3,Severe DR,1,0.575990617275238,0.4082217216491699
a28bfb772f50,1,Mild DR,2,Moderate DR,1,0.8776649832725525,0.05339755862951279
38e0e28d35d3,1,Mild DR,0,No DR,1,0.7181403040885925,0.1926269233226776
82f2784ead76,2,Moderate DR,3,Severe DR,1,0.6113784909248352,0.3109486699104309
51405d042000,2,Moderate DR,4,Proliferative DR,2,0.5674914121627808,0.02984796091914177
1269ab57c2e6,2,Moderate DR,1,Mild DR,1,0.9933173656463623,0.005068766884505749
69df7ade0575,2,Moderate DR,1,Mild DR,1,0.8854961395263672,0.10682500898838043
89ed6a0dd53f,1,Mild DR,2,Moderate DR,1,0.6413605213165283,0.3565915822982788
f03d3c4ce7fb,4,Proliferative DR,2,Moderate DR,2,0.533718466758728,0.4033142030239105
58ccba7eec9c,1,Mild DR,2,Moderate DR,1,0.8679866194725037,0.05873866751790047
ee02294cc3d9,2,Moderate DR,3,Severe DR,1,0.8124350309371948,0.12394370883703232
26453eb7e989,2,Moderate DR,3,Severe DR,1,0.8852970004081726,0.036434076726436615
7005be54cab1,1,Mild DR,4,Proliferative DR,3,0.9302671551704407,0.054167490452528
